bibtex,Authors,Title,Venue,Year,Abbr venue,Abstract
"@inproceedings{schwartz-2010-reproducible,
    title = ""Reproducible Results in Parsing-Based Machine Translation: The {JHU} Shared Task Submission"",
    author = ""Schwartz, Lane"",
    booktitle = ""Proceedings of the Joint Fifth Workshop on Statistical Machine Translation and {M}etrics{MATR}"",
    month = jul,
    year = ""2010"",
    address = ""Uppsala, Sweden"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/W10-1726"",
    pages = ""177--182"",
    abstract = ""We  present  the  Johns  Hopkins  University submission to the 2010 WMT shared translation  task.   We  describe  processing steps  using  open  data  and  open  source software used in our submission, and provide  the  scripts  and  configurations  re-quired to train, tune, and test our machine translation system.""
}
","Schwartz, Lane",Reproducible Results in Parsing-Based Machine Translation: The {JHU} Shared Task Submission,Proceedings of the Joint Fifth Workshop on Statistical Machine Translation and {M}etrics{MATR},2010,WS,"We  present  the  Johns  Hopkins  University submission to the 2010 WMT shared translation  task.   We  describe  processing steps  using  open  data  and  open  source software used in our submission, and provide  the  scripts  and  configurations  re-quired to train, tune, and test our machine translation system."
"@inproceedings{fokkens-etal-2013-offspring,
    title = ""Offspring from Reproduction Problems: What Replication Failure Teaches Us"",
    author = ""Fokkens, Antske  and
      van Erp, Marieke  and
      Postma, Marten  and
      Pedersen, Ted  and
      Vossen, Piek  and
      Freire, Nuno"",
    booktitle = ""Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
    month = aug,
    year = ""2013"",
    address = ""Sofia, Bulgaria"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/P13-1166"",
    pages = ""1691--1701"",
    abstract = ""Repeating experiments is an important instrument in the scientific toolbox to validate previous work and build upon existing  work.   We  present  two  concrete  use cases involving key techniques in the NLP domain for which we show that reproducing results is still difficult.  We show that the deviation that can be found in reproduction  efforts  leads  to  questions  about how  our  results  should  be  interpreted. Moreover,  investigating  these  deviations provides new insights and a deeper understanding of the examined techniques.  We identify five aspects that can influence the outcomes of experiments that are typically not addressed in research papers.  Our use cases show that these aspects may change the  answer  to  research  questions  leading us  to  conclude  that  more  care  should  betaken in interpreting our results and more research  involving  systematic  testing  of methods is required in our field.""
}
","Fokkens, Antske  and
      van Erp, Marieke  and
      Postma, Marten  and
      Pedersen, Ted  and
      Vossen, Piek  and
      Freire, Nuno",Offspring from Reproduction Problems: What Replication Failure Teaches Us,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2013,ACL,"Repeating experiments is an important instrument in the scientific toolbox to validate previous work and build upon existing  work.   We  present  two  concrete  use cases involving key techniques in the NLP domain for which we show that reproducing results is still difficult.  We show that the deviation that can be found in reproduction  efforts  leads  to  questions  about how  our  results  should  be  interpreted. Moreover,  investigating  these  deviations provides new insights and a deeper understanding of the examined techniques.  We identify five aspects that can influence the outcomes of experiments that are typically not addressed in research papers.  Our use cases show that these aspects may change the  answer  to  research  questions  leading us  to  conclude  that  more  care  should  betaken in interpreting our results and more research  involving  systematic  testing  of methods is required in our field."
"@inproceedings{neveol-etal-2016-replicability,
    title = ""Replicability of Research in Biomedical Natural Language Processing: a pilot evaluation for a coding task"",
    author = ""N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Cohen, Kevin  and
      Grouin, Cyril  and
      Robert, Aude"",
    booktitle = ""Proceedings of the Seventh International Workshop on Health Text Mining and Information Analysis"",
    month = nov,
    year = ""2016"",
    address = ""Auxtin, TX"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/W16-6110"",
    doi = ""10.18653/v1/W16-6110"",
    pages = ""78--84"",
    abstract = ""The  scientific  community  is  facing  raising concerns about the reproducibility of research in many fields.  To address this issue in Natural Language Processing, the CLEF eHealth 2016  lab  offered  a  replication  track  together with the Clinical Information Extraction task. Herein, we report detailed results of the replication experiments carried out with the three systems submitted to the track.  While all results were ultimately replicated, we found that the systems were poorly rated by analysts on documentation  aspects  such  as  ”ease  of  understanding system requirements” (33%) and” provision of information while system is running” (33%).  As a result, simple steps could be taken by system authors to increase the ease of replicability of their work, thereby increasing the ease of reusing the systems.  Our experiments  aim  to  raise  the  awareness  of  the community towards the challenges of replication and community sharing of NLP systems.""
}
","N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Cohen, Kevin  and
      Grouin, Cyril  and
      Robert, Aude",Replicability of Research in Biomedical Natural Language Processing: a pilot evaluation for a coding task,Proceedings of the Seventh International Workshop on Health Text Mining and Information Analysis,2016,WS,"The  scientific  community  is  facing  raising concerns about the reproducibility of research in many fields.  To address this issue in Natural Language Processing, the CLEF eHealth 2016  lab  offered  a  replication  track  together with the Clinical Information Extraction task. Herein, we report detailed results of the replication experiments carried out with the three systems submitted to the track.  While all results were ultimately replicated, we found that the systems were poorly rated by analysts on documentation  aspects  such  as  ”ease  of  understanding system requirements” (33%) and” provision of information while system is running” (33%).  As a result, simple steps could be taken by system authors to increase the ease of replicability of their work, thereby increasing the ease of reusing the systems.  Our experiments  aim  to  raise  the  awareness  of  the community towards the challenges of replication and community sharing of NLP systems."
"@inproceedings{fares-etal-2017-word,
    title = ""Word vectors, reuse, and replicability: Towards a community repository of large-text resources"",
    author = ""Fares, Murhaf  and
      Kutuzov, Andrey  and
      Oepen, Stephan  and
      Velldal, Erik"",
    booktitle = ""Proceedings of the 21st Nordic Conference on Computational Linguistics"",
    month = may,
    year = ""2017"",
    address = ""Gothenburg, Sweden"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/W17-0237"",
    pages = ""271--276"",
    abstract = ""This paper describes an emerging shared repository of large-text resources for creating word vectors, including pre-processed corpora and pre-trained vectors for a range of frameworks and configurations.   This will facilitate reuse, rapid experimentation, and replicability of results.""
}
","Fares, Murhaf  and
      Kutuzov, Andrey  and
      Oepen, Stephan  and
      Velldal, Erik","Word vectors, reuse, and replicability: Towards a community repository of large-text resources",Proceedings of the 21st Nordic Conference on Computational Linguistics,2017,WS,"This paper describes an emerging shared repository of large-text resources for creating word vectors, including pre-processed corpora and pre-trained vectors for a range of frameworks and configurations.   This will facilitate reuse, rapid experimentation, and replicability of results."
"@inproceedings{dakota-kubler-2017-towards,
    title = ""Towards Replicability in Parsing"",
    author = {Dakota, Daniel  and
      K{\""u}bler, Sandra},
    booktitle = ""Proceedings of the International Conference Recent Advances in Natural Language Processing, {RANLP} 2017"",
    month = sep,
    year = ""2017"",
    address = ""Varna, Bulgaria"",
    publisher = ""INCOMA Ltd."",
    url = ""https://doi.org/10.26615/978-954-452-049-6_026"",
    doi = ""10.26615/978-954-452-049-6_026"",
    pages = ""185--194"",
    abstract = ""We investigate parsing replicability across 7  languages  (and  8  treebanks),  showing that choices concerning the use of grammatical functions in parsing or evaluation and the influence of the rare word threshold,  as  well  as  choices  in  test  sentences and  evaluation  script  options  have  considerable and often unexpected effects on parsing  accuracies.   All  of  those  choices need  to  be  carefully  documented  if  we want to ensure replicability.""
}
","Dakota, Daniel  and
      K{\""u}bler, Sandra},
    booktitle = ""Proceedings of the International Conference Recent Advances in Natural Language Processing, {RANLP",Towards Replicability in Parsing,"Proceedings of the International Conference Recent Advances in Natural Language Processing, {RANLP} 2017",2017,WS,"We investigate parsing replicability across 7  languages  (and  8  treebanks),  showing that choices concerning the use of grammatical functions in parsing or evaluation and the influence of the rare word threshold,  as  well  as  choices  in  test  sentences and  evaluation  script  options  have  considerable and often unexpected effects on parsing  accuracies.   All  of  those  choices need  to  be  carefully  documented  if  we want to ensure replicability."
"@article{dror-etal-2017-replicability,
    title = ""Replicability Analysis for Natural Language Processing: Testing Significance with Multiple Datasets"",
    author = ""Dror, Rotem  and
      Baumer, Gili  and
      Bogomolov, Marina  and
      Reichart, Roi"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""5"",
    year = ""2017"",
    url = ""https://www.aclweb.org/anthology/Q17-1033"",
    doi = ""10.1162/tacl_a_00074"",
    pages = ""471--486"",
    abstract = ""With the ever growing amount of textual data from a large variety of languages, domains, and genres, it has become standard to evaluate NLP algorithms on multiple datasets in order to ensure a consistent performance across heterogeneous setups. However, such multiple comparisons pose significant challenges to traditional statistical analysis methods in NLP and can lead to erroneous conclusions. In this paper we propose a Replicability Analysis framework for a statistically sound analysis of multiple comparisons between algorithms for NLP tasks. We discuss the theoretical advantages of this framework over the current, statistically unjustified, practice in the NLP literature, and demonstrate its empirical value across four applications: multi-domain dependency parsing, multilingual POS tagging, cross-domain sentiment classification and word similarity prediction.""
}
","Dror, Rotem  and
      Baumer, Gili  and
      Bogomolov, Marina  and
      Reichart, Roi",Replicability Analysis for Natural Language Processing: Testing Significance with Multiple Datasets,Transactions of the Association for Computational Linguistics,2017,TACL,"With the ever growing amount of textual data from a large variety of languages, domains, and genres, it has become standard to evaluate NLP algorithms on multiple datasets in order to ensure a consistent performance across heterogeneous setups. However, such multiple comparisons pose significant challenges to traditional statistical analysis methods in NLP and can lead to erroneous conclusions. In this paper we propose a Replicability Analysis framework for a statistically sound analysis of multiple comparisons between algorithms for NLP tasks. We discuss the theoretical advantages of this framework over the current, statistically unjustified, practice in the NLP literature, and demonstrate its empirical value across four applications: multi-domain dependency parsing, multilingual POS tagging, cross-domain sentiment classification and word similarity prediction."
"@inproceedings{marrese-taylor-matsuo-2017-replication,
    title = ""Replication issues in syntax-based aspect extraction for opinion mining"",
    author = ""Marrese-Taylor, Edison  and
      Matsuo, Yutaka"",
    booktitle = ""Proceedings of the Student Research Workshop at the 15th Conference of the {E}uropean Chapter of the Association for Computational Linguistics"",
    month = apr,
    year = ""2017"",
    address = ""Valencia, Spain"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/E17-4003"",
    pages = ""23--32"",
    abstract = ""Reproducing experiments is an important instrument to validate previous work and build upon existing approaches. It has been tackled numerous times in different areas of science. In this paper, we introduce an empirical replicability study of three well-known algorithms for syntactic centric aspect-based opinion mining. We show that reproducing results continues to be a difficult endeavor, mainly due to the lack of details regarding preprocessing and parameter setting, as well as due to the absence of available implementations that clarify these details. We consider these are important threats to validity of the research on the field, specifically when compared to other problems in NLP where public datasets and code availability are critical validity components. We conclude by encouraging code-based research, which we think has a key role in helping researchers to understand the meaning of the state-of-the-art better and to generate continuous advances.""
}
","Marrese-Taylor, Edison  and
      Matsuo, Yutaka",Replication issues in syntax-based aspect extraction for opinion mining,Proceedings of the Student Research Workshop at the 15th Conference of the {E}uropean Chapter of the Association for Computational Linguistics,2017,EACL,"Reproducing experiments is an important instrument to validate previous work and build upon existing approaches. It has been tackled numerous times in different areas of science. In this paper, we introduce an empirical replicability study of three well-known algorithms for syntactic centric aspect-based opinion mining. We show that reproducing results continues to be a difficult endeavor, mainly due to the lack of details regarding preprocessing and parameter setting, as well as due to the absence of available implementations that clarify these details. We consider these are important threats to validity of the research on the field, specifically when compared to other problems in NLP where public datasets and code availability are critical validity components. We conclude by encouraging code-based research, which we think has a key role in helping researchers to understand the meaning of the state-of-the-art better and to generate continuous advances."
"@inproceedings{horsmann-zesch-2017-lstms,
    title = ""Do {LSTM}s really work so well for {P}o{S} tagging? {--} A replication study"",
    author = ""Horsmann, Tobias  and
      Zesch, Torsten"",
    booktitle = ""Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing"",
    month = sep,
    year = ""2017"",
    address = ""Copenhagen, Denmark"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/D17-1076"",
    doi = ""10.18653/v1/D17-1076"",
    pages = ""727--736"",
    abstract = ""A recent study by Plank et al. (2016) found that  LSTM-based  PoS  taggers  considerably improve over the current state-of-the-art when evaluated on the corpora of the Universal Dependencies project that use a coarse-grained tagset.   We  replicate  this study  using  a  fresh  collection  of  27  corpora  of  21  languages  that  are  annotated with fine-grained tagsets of varying size. Our replication confirms the result in general, and we additionally find that the advantage of LSTMs is even bigger for larger tagsets.   However,  we  also  find  that  for the very large tagsets of morphologically rich  languages,  hand-crafted  morphological  lexicons  are  still  necessary  to  reach state-of-the-art performance.""
}
","Horsmann, Tobias  and
      Zesch, Torsten",Do {LSTM}s really work so well for {P}o{S} tagging? {--} A replication study,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,2017,EMNLP,"A recent study by Plank et al. (2016) found that  LSTM-based  PoS  taggers  considerably improve over the current state-of-the-art when evaluated on the corpora of the Universal Dependencies project that use a coarse-grained tagset.   We  replicate  this study  using  a  fresh  collection  of  27  corpora  of  21  languages  that  are  annotated with fine-grained tagsets of varying size. Our replication confirms the result in general, and we additionally find that the advantage of LSTMs is even bigger for larger tagsets.   However,  we  also  find  that  for the very large tagsets of morphologically rich  languages,  hand-crafted  morphological  lexicons  are  still  necessary  to  reach state-of-the-art performance."
"@inproceedings{morey-etal-2017-much,
    title = ""How much progress have we made on {RST} discourse parsing? A replication study of recent results on the {RST}-{DT}"",
    author = ""Morey, Mathieu  and
      Muller, Philippe  and
      Asher, Nicholas"",
    booktitle = ""Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing"",
    month = sep,
    year = ""2017"",
    address = ""Copenhagen, Denmark"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/D17-1136"",
    doi = ""10.18653/v1/D17-1136"",
    pages = ""1319--1324"",
    abstract = ""This article evaluates purported progress over the past years in RST discourse parsing. Several studies report a relative error reduction of 24 to 51% on all metrics that authors attribute to the introduction of distributed representations of discourse units. We replicate the standard evaluation of 9 parsers, 5 of which use distributed representations, from 8 studies published between 2013 and 2017, using their predictions on the test set of the RST-DT. Our main finding is that most recently reported increases in RST discourse parser performance are an artefact of differences in implementations of the evaluation procedure. We evaluate all these parsers with the standard Parseval procedure to provide a more accurate picture of the actual RST discourse parsers performance in standard evaluation settings. Under this more stringent procedure, the gains attributable to distributed representations represent at most a 16% relative error reduction on fully-labelled structures.""
}
","Morey, Mathieu  and
      Muller, Philippe  and
      Asher, Nicholas",How much progress have we made on {RST} discourse parsing? A replication study of recent results on the {RST}-{DT},Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,2017,EMNLP,"This article evaluates purported progress over the past years in RST discourse parsing. Several studies report a relative error reduction of 24 to 51% on all metrics that authors attribute to the introduction of distributed representations of discourse units. We replicate the standard evaluation of 9 parsers, 5 of which use distributed representations, from 8 studies published between 2013 and 2017, using their predictions on the test set of the RST-DT. Our main finding is that most recently reported increases in RST discourse parser performance are an artefact of differences in implementations of the evaluation procedure. We evaluate all these parsers with the standard Parseval procedure to provide a more accurate picture of the actual RST discourse parsers performance in standard evaluation settings. Under this more stringent procedure, the gains attributable to distributed representations represent at most a 16% relative error reduction on fully-labelled structures."
"@inproceedings{htut-etal-2018-grammar,
    title = ""Grammar Induction with Neural Language Models: An Unusual Replication"",
    author = ""Htut, Phu Mon  and
      Cho, Kyunghyun  and
      Bowman, Samuel"",
    booktitle = ""Proceedings of the 2018 {EMNLP} Workshop {B}lackbox{NLP}: Analyzing and Interpreting Neural Networks for {NLP}"",
    month = nov,
    year = ""2018"",
    address = ""Brussels, Belgium"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/W18-5452"",
    doi = ""10.18653/v1/W18-5452"",
    pages = ""371--373"",
    abstract = ""Grammar induction is the task of learning syntactic structure without the expert-labeled treebanks (Charniak and Carroll, 1992; Klein and Manning, 2002). Recent work on latent tree learning offers a new family of approaches to this problem by inducing syntactic structure using the supervision from a downstream NLP task (Yogatama et al., 2017; Maillard et al., 2017; Choi et al., 2018). In a recent paper published at ICLR, Shen et al. (2018) introduce such a model and report near state-of-the-art results on the target task of language modeling, and the first strong latent tree learning result on constituency parsing. During the analysis of this model, we discover issues that make the original results hard to trust, including tuning and even training on what is effectively the test set. Here, we analyze the model under different configurations to understand what it learns and to identify the conditions under which it succeeds. We find that this model represents the first empirical success for neural network latent tree learning, and that neural language modeling warrants further study as a setting for grammar induction.""
}
","Htut, Phu Mon  and
      Cho, Kyunghyun  and
      Bowman, Samuel",Grammar Induction with Neural Language Models: An Unusual Replication,Proceedings of the 2018 {EMNLP} Workshop {B}lackbox{NLP}: Analyzing and Interpreting Neural Networks for {NLP},2018,WS,"Grammar induction is the task of learning syntactic structure without the expert-labeled treebanks (Charniak and Carroll, 1992; Klein and Manning, 2002). Recent work on latent tree learning offers a new family of approaches to this problem by inducing syntactic structure using the supervision from a downstream NLP task (Yogatama et al., 2017; Maillard et al., 2017; Choi et al., 2018). In a recent paper published at ICLR, Shen et al. (2018) introduce such a model and report near state-of-the-art results on the target task of language modeling, and the first strong latent tree learning result on constituency parsing. During the analysis of this model, we discover issues that make the original results hard to trust, including tuning and even training on what is effectively the test set. Here, we analyze the model under different configurations to understand what it learns and to identify the conditions under which it succeeds. We find that this model represents the first empirical success for neural network latent tree learning, and that neural language modeling warrants further study as a setting for grammar induction."
